PROCESS	PATTERN	QUERY	FILTERED_SENTENCE
boiling	<process name> occurs when *	boiling occurs when *	At first glance, it would seem that evaporation and boiling might be the same process, ... Boiling occurs when the average motion of particles is fast enough to...
boiling	<process name> occurs when *	boiling occurs when *	Aug 4, 1997 ... Flow boiling occurs when all the phases are in bulk flow together in a channel; e.g., vapor and liquid flow in a pipe.
boiling	<process name> occurs when *	boiling occurs when *	The mixture, however, exerts a common pressure against the atmosphere and boiling occurs when the sum of the two partial pressures of the liquids equals...
boiling	<process name> occurs when *	boiling occurs when *	Boiling occurs when the total pressure is...
boiling	<process name> occurs when *	boiling occurs when *	Flow boiling occurs when all the phases are in bulk flow together in a channel;; e.g., vapor and liquid flow in a pipe.
boiling	<process name> occurs when *	boiling occurs when *	Apr 11, 2011 ... Boiling occurs when vapor pressure = atmospheric pressure.
boiling	<process name> occurs when *	boiling occurs when *	Flow boiling occurs when all the phases are in bulk flow together in a channel; e.g., vapor and liquid flow in a pipe.
boiling	<process name> occurs when *	boiling occurs when *	"Flash boiling occurs when the pressure of a liquid suddenly drops below it"" saturation pressure, causing the liquid to vaporize."
boiling	<process name> occurs when *	boiling occurs when *	Flash boiling occurs when the pressure of liquid drops instantly below the saturation pressure.
boiling	<process name> occurs when *	boiling occurs when *	If boiling occurs when the vapor pressure inside the bubble equals atmospheric pressure, what would happen if the atmospheric pressure would drop?
boiling	<process name> occurs when *	boiling occurs when *	Boiling occurs when the temperature of the liquid is greater than the boiling point of the substance.
boiling	<process name> occurs when *	boiling occurs when *	Boiling occurs when the pressure above a liquid becomes equal to or less then the vapour pressure of the liquid.
boiling	<process name> occurs when *	boiling occurs when *	Boiling occurs when the equilibrium vapour pressure of the substance is greater than or equal to the environmental pressure.
boiling	<process name> occurs when *	boiling occurs when *	Boiling occurs when saturation pressure exceeds the confining pressure of a system.
boiling	<process name> occurs when *	boiling occurs when *	Subcooled boiling occurs when an under-saturated fluid comes in contact with a surface that is hotter than its saturation temperature.
boiling	<process name> is the *	boiling is the *	Feb 15, 2013 ... Boiling is the process of rapidly converting a liquid to its gaseous (vapor) state, typically by heating the liquid to a temperature called its boiling...
boiling	<process name> is the *	boiling is the *	Boiling is the phenomenon when water molecules are jiggled around enough to start turning into water vapor, a gas.
boiling	<process name> is the *	boiling is the *	Boiling is the transition of a substance from the liquid to gaseous state of matter.
boiling	<process name> is the *	boiling is the *	Boiling is the processing environment of the hops.
boiling	<process name> is the *	boiling is the *	Boiling is the method of cooking food in boiling water, or other water-based liquids such as stock or milk.
boiling	<process name> is the *	boiling is the *	the criteria for film boiling is the question: what is the minimum AT needed to cause stable film boiling?
boiling	<process name> is the *	boiling is the *	Evaporation is the gradual vaporisation of a liquid on the surface Whereas the boiling is the rapid vaporisation of a liquid when it is heated to its boiling point.
boiling	<process name> is the *	boiling is the *	The phenomenological definition of boiling is the existance of sustained bubbles that break free...
boiling	<process name> is the *	boiling is the *	Boiling is the spontaneous change of water from the liquid phase to the gas phase.
boiling	<process name> is the *	boiling is the *	Apr 23, 2015 ... Boiling is the converse process of condensation, in which an element or molecule in it's gaseous phase is converted to a liquid.
boiling	<process name> is the *	boiling is the *	Definition, Boiling is the vaporization of a liquid which occurs when a liquid is heated to its boiling point.
boiling	<process name> is the *	boiling is the *	Boiling is the rapid vaporization of a liquid, which typically occurs when a liquid is heated to a temperature such that its vapor pressure is above that of the...
boiling	<process name> is the *	boiling is the *	necessary condition for the existence of the 'slow wave' of boiling is the presence of large gradients.
boiling	<process name> is the *	boiling is the *	Jun 5, 2014 ... Boiling is the most certain way of killing all microorganisms.
boiling	<process name> is the *	boiling is the *	Definition: Boiling is the cooking of foods in a liquid either at or brought to boiling point.
boiling	<process name> is the *	boiling is the *	Boiling is the most common means of treating water in the home and the benchmark against which alternative point-of-use water treatment options must be...
boiling	<process name> is the *	boiling is the *	important parameters in nucleate boiling is the microstructure of the heating surface, characterized by the size, space, and shape distribution of pits and...
boiling	<process name> is the *	boiling is the *	Boiling is the hottest of the three techniques (212 F).
boiling	<process name> is the *	boiling is the *	The difference between simmering and boiling is the temperature.
boiling	<process name> is the *	boiling is the *	Mar 27, 2007 ... Rohsenow [28] postu- lated that heat transfer of subcooled flow boiling is the superposition of the heat transferred by single-phase con-.
boiling	<process name> is the *	boiling is the *	This appears to be a paradox (possibly a Catch-22): Boiling is the release of bubbles of vapour, but bubbles of vapour can never form.
boiling	<process name> is the *	boiling is the *	Boiling is the formation of vapor bubbles at the heating surface.
boiling	<process name> causes *	boiling causes *	This boiling causes the air inside to be forced out and replaced with hot water vapor.
boiling	<process name> causes *	boiling causes *	Mar 15, 2012 ... Boiling causes fat to soak into the bone.
boiling	<process name> causes *	boiling causes *	larger thermal resistance until incipience of boiling causes an immediate drop to approximately 0.35.
boiling	<process name> causes *	boiling causes *	Oct 10, 2013 ... A 2003 study showed that microwaving broccoli causes it to lose 74% or more of its phenolic compounds, while boiling causes it to lose 66%.
boiling	<process name> causes *	boiling causes *	May 12, 2015 ... Further boiling causes yellow precipitate to change to a bright red precipitate of copper(I) oxide.
boiling	<process name> causes *	boiling causes *	Stocks turn cloudy when boiled because boiling causes the fat to emulsify.
boiling	<process name> causes *	boiling causes *	necessary because boiling causes starch to become viscous, and the sample could not otherwise be completely denatured.
boiling	<process name> causes *	boiling causes *	Steaming or boiling causes wood to change in color, taking on a lifeless appearance.
boiling	<process name> causes *	boiling causes *	Listings 1 - 25 ... Eggs really should never be hard-boiled (in their shells), but rather hard-cooked; rigorous boiling causes eggs to jostle and crack, leaving the...
boiling	<process name> causes *	boiling causes *	The boiling causes the leather to become harder but also more brittle.
boiling	<process name> causes *	boiling causes *	Boiling causes pectins to set, which creates a permanently hazy beverage.
boiling	<process name> causes *	boiling causes *	Steaming or boiling causes wood to change in color and take on a lifeless appearance.
boiling	<process name> causes *	boiling causes *	May 3, 2012 ... **Boiling causes foods to become more tender.
boiling	<process name> causes *	boiling causes *	This boiling causes vapour to be produced...
boiling	<process name> causes *	boiling causes *	Boiling causes these particles to clump together (coagulate) and sink to the bottom of the boiler during the 'stand'.
boiling	<process name> causes *	boiling causes *	Internally driven boiling causes liquid to refrigerate so a temperature difference is created which in turn causes heat absorption and more externally driven...
boiling	<process name> is the process of *	boiling is the process of *	Poaching, simmering and boiling are three different moist-heat cooking methods ... Boiling is the process of cooking an item or a product in a boiling liquid, more...
boiling	<process name> is the process of *	boiling is the process of *	Parboiling is the process of boiling of rough paddy in hot water (70C) up to full soaking of paddy [2].
boiling	<process name> is the process of *	boiling is the process of *	Subcooled boiling is the process of vapor...
boiling	<process name> is the process of *	boiling is the process of *	Key difference: Boiling is the process of bringing water to its boiling point, boiling for 3-5 minutes or more to kill any bacteria, viruses and germs present in the...
boiling	<process name> is the process of *	boiling is the process of *	Boiling is the process of applying heat to water until the temperature reaches about 100C.
boiling	<process name> is the process of *	boiling is the process of *	Feb 15, 2013 ... Boiling is the process of rapidly converting a liquid to its gaseous (vapor) ...
boiling	<process name> is the process of *	boiling is the process of *	Boiling is the process of transforming water into steam.
boiling	<process name> is the process of *	boiling is the process of *	The stripping of the cork oak is an ancient process that can only (and should only) be ... Boiling is the process of immersion of cork planks in clean boiling water.
boiling	<process name> is the process of *	boiling is the process of *	Particular attention will be given to the process of the creation of ... falls below the vapor pressure, while boiling is the process of nucleation that...
boiling	<process name> is the process of *	boiling is the process of *	Feb 10, 2011 ... Boiling is the process of turning a liquid at its saturation temperature into vapor by applying heat.
boiling	<process name> is the process of * from * to *	boiling is the process of * from * to *	that is called cavitational erosion, while the process of development, transfer, and ... Boiling is the process of passing from the liquid to the vapor state by...
boiling	<process name> is the process of * from * to *	boiling is the process of * from * to *	Mar 28, 2013 ... Boiling is the process of water changing from its liquid form to its gaseous form through heat gain.
boiling	the purpose of <process name> is to *	the purpose of boiling is to *	The purpose of boiling is to release the fat in the fish and prevent bacteriological problems further on in the process.
boiling	the purpose of <process name> is to *	the purpose of boiling is to *	The purpose of boiling is to maintain the aroma of foods, make their digestion easier and be safe in terms of their nutritional value.
boiling	the purpose of <process name> is to *	the purpose of boiling is to *	Jun 14, 2012 ... Grilling, Poaching, Frying, Steaming, Baking, Roasting Boiling .... court bouillon, milk or stock The Purpose of boiling is to cook food so that it is:...
boiling	the purpose of <process name> is to *	the purpose of boiling is to *	The purpose of boiling is to concentrate the wort to the desired strength, to develop color in the beer, to sterilize it & destroy all the enzymes, to coagulate certain...
boiling	<process name> occurs due to * of *	boiling occurs due to * of *	ing to transition boiling occurs due to larger drop of surface temperature which is caused by liquid- solid contacts for coated surface than for uncoated one.
boiling	<process name> occurs due to * of *	boiling occurs due to * of *	Also, chemical spills can occur if vented wet-cell lead-acid batteries are overfilled with water, if boiling occurs due to incorrect charging (typically overcharging) of...
boiling	<process name> helps to *	boiling helps to *	Boiling helps to kill all bacteria in order to eliminate...
boiling	<process name> helps to *	boiling helps to *	Boiling helps to en- hance the colour and the shelf life of t:urmeric.
boiling	<process name> helps to *	boiling helps to *	PS: for vegetables, quickly immersing them in ice-cold water after boiling helps to retain the bright color (although I don't know why).
boiling	<process name> helps to *	boiling helps to *	Boiling helps to kill a great deal of the bacteria that is found in lakes and rivers.
boiling	<process name> helps to *	boiling helps to *	Cover and cook on high for an additional 30 minutes (boiling helps to thicken sauce).
boiling	<process name> helps to *	boiling helps to *	Boiling helps to inactivate any organisms that may be present in the water, and bottled water provides safety by not using the system at all.
boiling	<process name> helps to *	boiling helps to *	Double boiling helps to remove some of the potassium from the vegetable.
boiling	<process name> helps to *	boiling helps to *	Boiling helps to open up the shell valves, and then they pick out the meat.
boiling	<process name> helps to *	boiling helps to *	The boiling helps to get the membrane off the shell and kills any pathogens.
boiling	<process name> helps to *	boiling helps to *	The boiling helps to break up the cells in the preparation, and denatures proteins.
boiling	<process name> helps to *	boiling helps to *	Boiling helps to inactivate endogenous enzymes (e.g.
boiling	<process name> helps to *	boiling helps to *	Boiling helps to prevent fermentation so you can feel confident that your food will last a few days.11.
boiling	<process name> helps to *	boiling helps to *	Finally, boiling helps to concentrate the wort.
boiling	<process name> helps to *	boiling helps to *	Removing water by boiling helps to maintain the acid concentration; therefore, for each nominal acid concentration tested, a corresponding boiling temperature.
boiling	<process name> helps to *	boiling helps to *	Boiling helps to keep bacteria and viruses out of the pigs.
boiling	<process name> helps to *	boiling helps to *	Addition of lemon juice or vinegar before boiling helps to transfer more alcaloids into infusion and restrict passing of tanning agents from the crust.
boiling	<process name> helps to *	boiling helps to *	Exactly boiling helps to cook meat with a lot of delicate tastes, gives it softness and aroma.
boiling	<process name> helps to *	boiling helps to *	I personally believe the boiling helps to release, or breakdown some of the nutrients in the mix.
boiling	<process name> helps to *	boiling helps to *	Treatment with the enzyme proteinase K degrades protein and boiling helps to break open the cells.
boiling	<process name> helps to *	boiling helps to *	A:If you are using chlorinated municipal water boiling helps to reduce the amount of chlorine present in the water.
boiling	<process name> helps to *	boiling helps to *	Boiling helps to easier penetration of water soluble principles to water and converts the liquid to vapors.
boiling	<process name> is caused by *	boiling is caused by *	The complication of a CHF problem for forced convection boiling is caused by the large number of variable factors and the variety of two- phase flows.
boiling	<process name> is caused by *	boiling is caused by *	Jan 24, 2015 ... umn is below boiling, and the boiling is caused by ascent-driven decompression (e.g., Bunsen, 1847, Fukutomi, 1942a,b; Kieffer, 1984).
boiling	<process name> is caused by *	boiling is caused by *	ANTIBOIL has an antimicrobial effect, and boiling is caused by microbial activity.
boiling	<process name> is caused by *	boiling is caused by *	partial boiling is caused by the nonuniform distribution of seepage flow produced by supplying water through the pipes.
boiling	<process name> is caused by *	boiling is caused by *	Mar 1, 2013 ... Boiling is caused by decrease in pressure.
boiling	<process name> is caused by *	boiling is caused by *	May 7, 2014 ... called second boiling is caused by crystallization in magma that cools down.
boiling	<process name> is caused by *	boiling is caused by *	If annular flow exists, the departure from nucleate boiling is caused by annular film dryout.
boiling	<process name> is caused by *	boiling is caused by *	The origin of the thermocapillary convection in subcooled boiling is caused by inert gas accumulation in the upper part of the bubbles.
boiling	<process name> is caused by *	boiling is caused by *	Dec 20, 2012 ... flow exists, the departure from nucleate boiling is caused by annular film dryout.
boiling	<process name> is caused by *	boiling is caused by *	The boiling is caused by the relationship between the temperature and pressure of a gas.
boiling	<process name> is caused by *	boiling is caused by *	It has been found that the high heat transfer rate in nucleate boiling is caused by the formation and transportation of vapour bubbles.
boiling	<process name> is caused by *	boiling is caused by *	boiling is caused by annular film dryout.
boiling	<process name> is caused by *	boiling is caused by *	Mar 15, 1991 ... Film boiling is caused by heterogeneous nucleation due to very minute gas bubbles formed on the heater surface irregularities (scratches, ?ne...
boiling	<process name> is caused by *	boiling is caused by *	The conductivity of the vaporgaseous envelope that functions in the film type of boiling is caused by electrical microdischarges inside the envelope [10].
boiling	* is necessary for <process name>	* is necessary for boiling	May 9, 2007 ... A high additional amount of energy is necessary for boiling off the water and drying the metaborate.
boiling	* is necessary for <process name>	* is necessary for boiling	At least one cooking pot is necessary for boiling water.
boiling	* is necessary for <process name>	* is necessary for boiling	Which specific equipment is necessary for boiling point testing of a compound?
boiling	* is necessary for <process name>	* is necessary for boiling	The heat used should not be more than is necessary for boiling.
boiling	* is necessary for <process name>	* is necessary for boiling	The heating capacity which is necessary for boiling decreases as the altitude increases, since on the one hand the atmospheric pressure, and...
boiling	* is necessary for <process name>	* is necessary for boiling	far higher temperature than is necessary for boiling or steaming.
boiling	* is necessary for <process name>	* is necessary for boiling	cal nanoparticle volume fraction that is necessary for boiling en- hancement.
boiling	* is necessary for <process name>	* is necessary for boiling	volume fraction that is necessary for boiling enhancement.
boiling	* is necessary for <process name>	* is necessary for boiling	a consensus that (1) nucleation is necessary for boiling, (2) nucleation is accomplished by sites of certain sizes only, and (3) the amount of superheat above the...
boiling	* is necessary for <process name>	* is necessary for boiling	I don't think this is necessary for boiling water and short cooking times though.
boiling	* is necessary for <process name>	* is necessary for boiling	A review of the current literature on the physics of boiling disclosed a consensus that (1) nucleation is necessary for boiling, (2) nucleation is accomplished by...
boiling	* is necessary for <process name>	* is necessary for boiling	column provides the heat that is necessary for boiling up the vacuum column.
boiling	* is necessary for <process name>	* is necessary for boiling	In the open kettle method of canning, a container of suitable size is necessary for boiling the food.
